ticker,exchange,assetType,priceCurrency,startDate,endDate
ATEST-Z,AMEX,Stock,USD,8/11/20,8/11/20
BUFR,BATS,Stock,USD,8/11/20,8/11/20
CNDPD,OTCGREY,Stock,USD,8/11/20,8/11/20
SSYNF,PINK,Stock,USD,8/11/20,8/11/20
TSRMD,OTCQX,Stock,USD,8/11/20,8/11/20
AZMCF,OTCQB,Stock,USD,8/10/20,8/11/20
BLKIF,OTCGREY,Stock,USD,8/10/20,8/11/20
CGDNF,PINK,Stock,USD,8/10/20,8/11/20
EVKIY,PINK,Stock,USD,8/10/20,8/11/20
JDCMF,PINK,Stock,USD,8/10/20,8/11/20
VNGLF,OTCGREY,Stock,USD,8/10/20,8/11/20
CIPQX,NMFQS,Mutual Fund,USD,8/7/20,8/11/20
CMPI,NASDAQ,Stock,USD,8/7/20,8/11/20
FRLN,NASDAQ,Stock,USD,8/7/20,8/11/20
IBEX,NASDAQ,Stock,USD,8/7/20,8/11/20
KITAF,PINK,Stock,USD,8/7/20,8/11/20
TREB,NYSE,Stock,USD,8/7/20,8/11/20
TREB-WS,NYSE,Stock,USD,8/7/20,8/11/20
VMACU,NASDAQ,Stock,USD,8/7/20,8/11/20
VOLSX,NMFQS,Mutual Fund,USD,8/7/20,8/11/20
WALRF,PINK,Stock,USD,8/7/20,8/11/20
AFIB,NASDAQ,Stock,USD,8/6/20,8/11/20
ETARX,NMFQS,Mutual Fund,USD,8/6/20,8/11/20
GRSVU,NASDAQ,Stock,USD,8/6/20,8/11/20
KSMTU,NASDAQ,Stock,USD,8/6/20,8/11/20
MLACW,NASDAQ,Stock,USD,8/6/20,8/11/20
MUHGF,OTCGREY,Stock,USD,8/6/20,8/11/20
PFSVX,NMFQS,Mutual Fund,USD,8/6/20,8/11/20
PMEFX,NMFQS,Mutual Fund,USD,8/6/20,8/11/20
XAGIX,NMFQS,Mutual Fund,USD,8/6/20,8/11/20
ADSGF,PINK,Stock,USD,8/5/20,8/11/20
BIGC,NASDAQ,Stock,USD,8/5/20,8/11/20
BOWXU,NASDAQ,Stock,USD,8/5/20,8/11/20
GOAC-U,NYSE,Stock,USD,8/5/20,8/11/20
HOLUU,NASDAQ,Stock,USD,8/5/20,8/11/20
RXT,NASDAQ,Stock,USD,8/5/20,8/11/20
TCHP,,ETF,USD,8/5/20,8/11/20
TDVG,,ETF,USD,8/5/20,8/11/20
TEQI,,ETF,USD,8/5/20,8/11/20
TGRW,,ETF,USD,8/5/20,8/11/20
WKGFF,PINK,Stock,USD,8/5/20,8/11/20
BDWBY,OTCGREY,Stock,USD,8/4/20,8/11/20
CPSIX,NMFQS,Mutual Fund,USD,8/4/20,8/11/20
HSAQ,NASDAQ,Stock,USD,8/4/20,8/11/20
IBBJ,,ETF,USD,8/4/20,8/11/20
IMPPF,OTCGREY,Stock,USD,8/4/20,8/11/20
SZSAY,PINK,Stock,USD,8/4/20,8/11/20
VGRSF,OTCGREY,Stock,USD,8/4/20,8/11/20
YAC-U,NYSE,Stock,USD,8/4/20,8/11/20
AUGZ,BATS,Stock,USD,8/3/20,8/11/20
BRIAX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
BRICX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
BRIDX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
BRIEX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
GAAKX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
HCAEF,OTCGREY,Stock,USD,8/3/20,8/11/20
KLTHF,PINK,Stock,USD,8/3/20,8/11/20
PLIBX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
PLIEX,NMFQS,Mutual Fund,USD,8/3/20,8/11/20
ROSUQ,PINK,Stock,USD,8/3/20,8/11/20
ROSWQ,PINK,Stock,USD,8/3/20,8/11/20
APGOF,PINK,Stock,USD,7/31/20,8/11/20
CESSF,OTCGREY,Stock,USD,7/31/20,8/11/20
DNRCQ,PINK,Stock,USD,7/31/20,8/11/20
ECTM,PINK,Stock,USD,7/31/20,8/11/20
EDPPF,PINK,Stock,USD,7/31/20,8/6/20
EGMLF,PINK,Stock,USD,7/31/20,8/11/20
ETACU,NASDAQ,Stock,USD,7/31/20,8/11/20
EVSLF,PINK,Stock,USD,7/31/20,8/11/20
FTHM,NASDAQ,Stock,USD,7/31/20,8/11/20
GLVMD,OTCQX,Stock,USD,7/31/20,8/11/20
GOED,AMEX,Stock,USD,7/31/20,8/11/20
KRRGD,OTCQX,Stock,USD,7/31/20,8/11/20
NHICU,NASDAQ,Stock,USD,7/31/20,8/11/20
NSCKX,NMFQS,Mutual Fund,USD,7/31/20,8/11/20
NSRKX,NMFQS,Mutual Fund,USD,7/31/20,8/11/20
PRPB-U,NYSE,Stock,USD,7/31/20,8/11/20
SSGRF,OTCGREY,Stock,USD,7/31/20,7/31/20
TAJEX,NMFQS,Mutual Fund,USD,7/31/20,8/4/20
TAKJX,NMFQS,Mutual Fund,USD,7/31/20,8/4/20
TAPKX,NMFQS,Mutual Fund,USD,7/31/20,8/4/20
TAQOX,NMFQS,Mutual Fund,USD,7/31/20,8/4/20
TFC-P-R,NYSE,Stock,USD,7/31/20,8/11/20
VCFRX,NMFQS,Mutual Fund,USD,7/31/20,8/11/20
VGMBX,NMFQS,Mutual Fund,USD,7/31/20,8/11/20
VITL,NASDAQ,Stock,USD,7/31/20,8/11/20
VRYYF,PINK,Stock,USD,7/31/20,8/11/20
VSTA,NASDAQ,Stock,USD,7/31/20,8/11/20
WTIPF,OTCGREY,Stock,USD,7/31/20,8/11/20
WWSMX,NMFQS,Mutual Fund,USD,7/31/20,8/11/20
ALVR,NASDAQ,Stock,USD,7/30/20,8/11/20
ARYB,NASDAQ,Stock,USD,7/30/20,8/11/20
ARYBW,NASDAQ,Stock,USD,7/30/20,8/11/20
CCIV-U,NYSE,Stock,USD,7/30/20,8/11/20
EDOC,NASDAQ,Stock,USD,7/30/20,8/11/20
FFOXF,PINK,Stock,USD,7/30/20,8/11/20
FRTAY,OTCGREY,Stock,USD,7/30/20,8/11/20
HEC,NASDAQ,Stock,USD,7/30/20,8/11/20
HECCW,NASDAQ,Stock,USD,7/30/20,8/11/20
